Products,,,,,,,Markup,,Chefpanzee Price,
Product Id,SKU,Category Name,Product Name,Original Price,Product Description,Category (Internal),Lunch,Dinner,Lunch,Dinner
,200277,Savory Snacks,Porridge Soup Artificial Pork Flavor,15.74,,,,,15.74,15.74
,200278,Savory Snacks,Porridge Soup Artificial Chicken Flavor,15.74,,,,,15.74,15.74
,200279,Savory Snacks,Flour Sticks,3.98,,,,,3.98,3.98
,200280,Savory Snacks,Hot Chicken Flavor Ramen,6.29,,,,,6.29,6.29
,200281,Savory Snacks,Hot Wasabi Peas,5.24,,,,,5.24,5.24
,200282,Seasoning & Curry Pastes,Chicken Woku Seasoning,3.77,,,,,3.77,3.77
,200283,Seasoning & Curry Pastes,Aroma Pasta,1.25,,,,,1.25,1.25
,200284,Seasoning & Curry Pastes,Holy Basil Seasoning Paste,1.25,,,,,1.25,1.25
,200285,Seasoning & Curry Pastes,Oriental Braised Beef Seasoning Paste,1.25,,,,,1.25,1.25
,200286,Seasoning & Curry Pastes,Massaman Curry Paste,1.35,,,,,1.35,1.35
,200287,Seasoning & Curry Pastes,Panang Curry Paste,1.35,,,,,1.35,1.35
,200288,Seasoning & Curry Pastes,Red Curry Paste,1.25,,,,,1.25,1.25
,200289,Seasoning & Curry Pastes,Yellow Curry Paste,1.25,,,,,1.25,1.25
,200290,Seasoning & Curry Pastes,Seafood Chili Sauce Mix,1.35,,,,,1.35,1.35
,200291,Seasoning & Curry Pastes,Potted Seafood Seasoning Paste,1.25,,,,,1.25,1.25
,200292,Seasoning & Curry Pastes,Sauteed Shrimp Paste,3.14,,,,,3.14,3.14
,200293,Seasoning & Curry Pastes,Sauteed Shrimp Fry,4.19,,,,,4.19,4.19
,200294,Seasonings & Curry Pastes,Salted Soybean Paste,2.93,,,,,2.93,2.93
